Symbol,Company,Sector,Headquarter,Year First Added,Foundation
WST,West Pharmaceutical Services,Health Care,Pennsylvania,2020,1923
WDC,Western Digital,Information Technology,California,2009,1970
WRK,WestRock,Materials,Georgia,0,2015
WY,Weyerhaeuser,Real Estate,Washington,0,1900
WHR,Whirlpool Corporation,Consumer Discretionary,Michigan,0,1911
WMB,Williams Companies,Energy,Oklahoma,1975,1908
WTW,Willis Towers Watson,Financials,United Kingdom,2016,2016
GWW,W. W. Grainger,Industrials,Illinois,1981,1927
WYNN,Wynn Resorts,Consumer Discretionary,Nevada,2008,2002
XEL,Xcel Energy,Utilities,Minnesota,1957,1909
XYL,Xylem Inc.,Industrials,New York,2011,2011
YUM,Yum! Brands,Consumer Discretionary,Kentucky,1997,1997
ZBRA,Zebra Technologies,Information Technology,Illinois,2019,1969
ZBH,Zimmer Biomet,Health Care,Indiana,2001,1927
ZION,Zions Bancorporation,Financials,Utah,2001,1873
ZTS,Zoetis,Health Care,New Jersey,2013,1952
